Year,Tm,Player,Age,Rounded Position,WS
2013,BOS,Chris Wilcox,30,4,3.1
2013,DAL,Josh Akognon,26,1,0
2014,PHI,Spencer Hawes,25,5,2.6
2014,ATL,Mike Scott,25,3,2.6
2014,BOS,Rajon Rondo,27,1,1.1
2014,GSW,Jermaine O'Neal,35,5,2.7
2014,MIL,Miroslav Raduljica,26,5,1.1
2014,UTA,Mike Harris,30,3,0.5
2015,CHI,Joakim Noah,29,4,5.6
2015,UTA,Trevor Booker,27,4,3.6
2015,GSW,Leandro Barbosa,32,1,2.8
2016,ORL,Dewayne Dedmon,26,5,0.5
2016,DEN,Nikola Jokic,20,4,0.2
1978,IND,Ricky Sobers,25,1,4.8
1978,DET,Eric Money,22,1,3.6
1978,MIL,Dave Meyers,24,3,5
1979,CLE,Austin Carr,30,2,5
1979,NJN,Eric Money,23,1,2.1
1979,NYK,Earl Monroe,34,1,2.5
1980,WSB,Wes Unseld,33,4,8.4
1980,BOS,Rick Robey,24,4,5.5
1981,DET,Phil Hubbard,24,3,4.5
1983,POR,Mychal Thompson,28,4,5.4
1983,ATL,Tree Rollins,27,5,7.3
1983,SDC,Jerome Whitehead,26,4,2.1
1984,SAS,Gene Banks,24,3,6.2
1984,LAL,Jamaal Wilkes,30,2,6
1985,GSW,Sleepy Floyd,24,1,3.1
1985,LAL,Bob McAdoo,33,4,2.9
1985,HOU,Larry Micheaux,24,4,1.1
1985,MIL,David Thirdkill,24,3,0.1
1987,NYK,Trent Tucker,27,2,3.4
1987,HOU,Ralph Sampson,26,5,2.2
1987,LAC,Cedric Maxwell,31,3,2.5
1988,CHI,Charles Oakley,24,4,6.7
1989,HOU,Otis Thorpe,26,4,8.7
1989,LAC,Ken Norman,24,3,4
1989,DEN,Danny Schayes,29,4,5.6
1990,DEN,Michael Adams,27,1,6.9
1990,DET,Dennis Rodman,28,4,9.3
1990,ORL,Sam Vincent,26,1,2.4
1990,DAL,Adrian Dantley,33,2,3.1
1990,SAS,Rod Strickland,23,1,2.5
1991,SAC,Lionel Simmons,22,3,2.7
1991,CHH,Muggsy Bogues,26,1,4.8
1991,CHH,Kendall Gill,22,2,1.8
1991,SAC,Leon Wood,28,1,0.6
1992,DET,Joe Dumars,28,1,8.2
1992,LAC,Ron Harper,28,2,5.6
1992,POR,Danny Ainge,32,1,5.2
1993,PHO,Dan Majerle,27,2,9.8
1993,DET,Isiah Thomas,31,1,3.7
1994,CHI,Toni Kukoc,25,3,3.2
1994,NJN,Chris Morris,28,3,3.8
1994,CHI,Scott Williams,25,4,1.7
1994,MIN,Marlon Maxey,24,4,1.7
1995,LAL,Elden Campbell,26,4,3.8
1995,PHO,Richard Dumas,25,3,0.3
1996,SEA,Sam Perkins,34,4,6.9
1996,MIN,Terry Porter,32,1,3.7
1997,VAN,George Lynch,26,3,1.5
1997,UTA,Stephen Howard,26,4,1.1
1998,ORL,Horace Grant,32,4,7.1
1998,SEA,Hersey Hawkins,31,2,8.6
1998,BOS,Chauncey Billups,21,1,2.6
1999,PHO,Danny Manning,32,4,2.6
1999,DAL,Cedric Ceballos,29,3,0.4
1999,ORL,Dominique Wilkins,39,3,0.3
2000,MIA,Jamal Mashburn,27,3,6.4
2000,MIN,Wally Szczerbiak,22,3,6.2
2000,GSW,Larry Hughes,21,2,0.7
2000,IND,Chris Mullin,36,2,1.7
2000,NJN,Sherman Douglas,33,1,0.6
2001,SEA,Shammond Williams,25,1,2.9
2002,GSW,Larry Hughes,23,1,2.4
2002,UTA,Scott Padgett,25,4,3.5
2002,MIN,Gary Trent,27,4,3
2002,BOS,Rodney Rogers,30,3,1.7
2003,NOH,Jamaal Magloire,24,5,6.7
2003,DEN,Nene Hilario,20,5,5
2003,CHI,Jamal Crawford,22,1,2.8
2003,HOU,Eddie Griffin,20,4,3.9
2003,PHI,Derrick Coleman,35,4,4.5
2003,PHI,Brian Skinner,26,5,4.1
2003,MIN,Rod Strickland,36,1,1.7
2004,SEA,Ronald Murray,24,1,1.7
2004,CHI,Jerome Williams,30,4,3.3
2005,ATL,Josh Smith,19,4,2.4
2005,MEM,Jason Williams,29,1,4.3
2005,IND,Jeff Foster,28,5,5.4
2005,BOS,Antoine Walker,28,3,0.7
2005,POR,Travis Outlaw,20,3,1.4
2005,SAC,Corliss Williamson,31,3,1.2
2006,NYK,David Lee,22,4,2.7
2006,DEN,Ruben Patterson,30,2,1.1
2007,LAL,Andrew Bynum,19,5,4.2
2007,SEA,Desmon Farmer,25,1,0
2008,LAL,Jordan Farmar,21,1,3.9
2008,NOH,Julian Wright,20,3,1.7
2009,MIL,Richard Jefferson,28,3,6.6
2009,POR,Joel Przybilla,29,5,6.6
2009,BOS,Eddie House,30,1,4.9
2009,TOR,Jermaine O'Neal,30,4,1.4
2010,CHI,Acie Law,25,1,0.3
2010,SAS,Marcus Haislip,29,4,0.1
2010,SAC,Garrett Temple,23,2,0
2011,PHI,Jrue Holiday,20,1,5.7
2011,ORL,Jameer Nelson,28,1,6.6
2011,LAC,Craig Smith,27,3,1.5
2012,HOU,Luis Scola,31,4,3.4
2012,PHO,Jared Dudley,26,3,5.1
2012,WAS,Trevor Booker,24,4,3
2012,MIL,Monta Ellis,26,1,1.1
2013,PHO,Marcin Gortat,28,5,3.4
2013,NOH,Eric Gordon,24,2,1.1
2013,HOU,Patrick Beverley,24,1,2.2
2013,NYK,Earl Barron,31,5,0.1
2014,MIN,Ricky Rubio,23,1,5.9
2014,OKC,Reggie Jackson,23,2,4.9
2014,TOR,Amir Johnson,26,4,6.3
2014,CLE,Tyler Zeller,24,5,2.6
2014,MIA,James Jones,33,3,0.7
2015,TOR,Amir Johnson,27,4,5.1
2015,IND,Roy Hibbert,28,5,4.2
2015,IND,Rodney Stuckey,28,2,4
2015,MEM,Beno Udrih,32,1,3.6
2015,PHO,Gerald Green,29,2,1.9
2015,IND,C.J. Watson,30,1,4
2015,WAS,Kris Humphries,29,4,3.8
2015,BOS,Rajon Rondo,28,1,0.9
2016,ORL,Evan Fournier,23,2,0.8
2016,PHO,Brandon Knight,24,1,0.4
2016,PHI,Richaun Holmes,22,4,0.2
2016,PHI,Christian Wood,20,4,0
1978,WSB,Kevin Grevey,24,2,4.4
1978,CLE,Terry Furlow,23,2,1.1
1979,GSW,Sonny Parker,23,2,7
1979,CHI,Mickey Johnson,26,3,3.7
1979,DET,Terry Tyler,22,3,5.4
1979,SAS,Billy Paultz,30,5,5.1
1979,NYK,Mike Glenn,23,1,2.8
1979,BOS,Rick Robey,23,4,1.8
1981,LAL,Norm Nixon,25,1,5.5
1981,DEN,Billy McKinney,25,1,2.3
1981,DAL,Abdul Jeelani,26,3,1.6
1982,CHI,Dave Greenwood,24,4,6.5
1982,CHI,Roger Burkman,23,2,0.1
1983,WSB,Don Collins,24,2,3.5
1984,ATL,Mike Glenn,28,1,3.9
1984,HOU,James Bailey,26,4,2.3
1985,HOU,Rodney McCray,23,3,8.5
1985,IND,Herb Williams,26,4,2.2
1985,NJN,Ron Brewer,29,2,0.8
1985,CLE,Michael Wilson,25,1,0.4
1986,CHI,Gene Banks,26,3,4.3
1986,SAS,Wes Matthews,26,1,3
1987,WSB,John Williams,20,3,3.5
1987,DEN,Blair Rasmussen,24,5,3.3
1987,DET,Dennis Rodman,25,3,2.9
1987,ATL,Antoine Carr,25,4,2.2
1988,ATL,Cliff Levingston,27,3,7
1988,ATL,Antoine Carr,26,4,3.8
1988,DEN,Andre Moore,23,4,0
1989,SEA,Derrick McKey,22,3,7.4
1989,GSW,Rod Higgins,29,3,5.9
1989,IND,LaSalle Thompson,27,5,2.6
1990,GSW,Rod Higgins,30,3,5
1990,GSW,Sarunas Marciulionis,25,2,3.8
1990,POR,Drazen Petrovic,25,2,2.8
1990,SEA,Jim Farmer,25,2,0.7
1991,BOS,Brian Shaw,24,2,5.9
1991,PHI,Ron Anderson,32,3,4.1
1991,SEA,Sedale Threatt,29,1,4.6
1991,DET,William Bedford,27,5,1.3
1991,SAS,Reggie Williams,26,2,1
1992,LAL,Byron Scott,30,2,6
1992,MIL,Frank Brickowski,32,4,3.4
1992,ATL,Alexander Volkov,27,3,3
1993,SAS,Sean Elliott,24,3,6.1
1993,SAC,Lionel Simmons,24,3,3.8
1993,DET,Terry Mills,25,4,3.8
1993,MIL,Fred Roberts,32,3,3.9
1993,CHH,Johnny Newman,29,2,3.7
1994,SEA,Nate McMillan,29,2,6
1994,GSW,Keith Jennings,25,1,2.9
1995,NJN,Chris Morris,29,3,4
1995,CHH,Dell Curry,30,2,3.3
1995,PHO,Trevor Ruffin,24,1,0.1
1996,DAL,Lucious Harris,25,2,2.1
1997,BOS,Antoine Walker,20,3,1.7
1997,DEN,Antonio McDyess,22,4,1.8
1997,BOS,Todd Day,27,2,3.2
1998,ORL,Bo Outlaw,26,3,7.6
1998,GSW,Donyell Marshall,24,4,4.2
1998,LAC,Eric Piatkowski,27,3,3.9
1999,WAS,Mitch Richmond,33,2,3.3
1999,BOS,Tony Battie,22,5,3.3
2000,POR,Damon Stoudamire,26,1,6.1
2000,PHO,Oliver Miller,29,5,3.4
2001,SAS,Antonio Daniels,25,1,6.6
2001,NJN,Keith Van Horn,25,4,2.8
2001,SAS,Terry Porter,37,1,5.4
2002,POR,Derek Anderson,27,2,5.3
2002,SEA,Ansu Sesay,25,3,0.5
2003,WAS,Larry Hughes,24,2,3.7
2003,HOU,Kelvin Cato,28,5,3.8
2005,NOH,P.J. Brown,35,4,6.9
2005,MIA,Udonis Haslem,24,4,9.2
2005,UTA,Matt Harpring,28,3,5.5
2005,MIA,Damon Jones,28,1,8.7
2005,ATL,Antoine Walker,28,3,0.2
2005,POR,Joel Przybilla,25,5,4.7
2005,POR,Darius Miles,23,3,1.3
2006,CHI,Kirk Hinrich,25,1,7.6
2006,ATL,Josh Smith,20,4,3.6
2006,NYK,Jamal Crawford,25,2,4.5
2006,DET,Antonio McDyess,31,4,4.6
2006,ATL,Tyronn Lue,28,1,2.7
2006,CLE,Martynas Andriuskevicius,19,5,0
2007,MIL,Andrew Bogut,22,5,4
2007,GSW,Jason Richardson,26,2,3
2007,LAL,Ronny Turiaf,24,4,3.1
2008,ORL,Jameer Nelson,25,1,5.6
2008,WAS,Andray Blatche,21,5,3
2008,CHI,Joakim Noah,22,5,3.8
2008,MIA,Marcus Banks,26,1,0.5
2009,LAL,Trevor Ariza,23,3,6.1
2009,POR,Rudy Fernandez,23,2,6.1
2009,MIA,Jermaine O'Neal,30,4,1.2
2009,MIL,Eddie Gill,30,1,0.1
2010,TOR,Andrea Bargnani,24,4,4.2
2010,ORL,Jameer Nelson,27,1,5
2010,HOU,Kyle Lowry,23,1,4.3
2011,CHI,Luol Deng,25,3,9.9
2011,POR,Wesley Matthews,24,2,7.2
2011,MIN,Michael Beasley,22,3,1.7
2011,NJN,Brandan Wright,23,4,0.4
2012,UTA,Gordon Hayward,21,3,4.9
2012,SAS,Danny Green,24,3,4.5
2012,POR,Gerald Wallace,29,3,3.5
2012,LAL,Matt Barnes,31,3,4.3
2013,LAC,Matt Barnes,32,3,6.3
2013,HOU,Patrick Patterson,23,4,3
2013,UTA,DeMarre Carroll,26,3,3.1
2014,BRK,Joe Johnson,32,3,4.9
2014,PHI,Michael Carter-Williams,22,2,1.3
2015,MIA,Luol Deng,29,3,5.4
2015,NOP,Omer Asik,28,5,5
2015,SAS,Cory Joseph,23,1,4.5
2015,BOS,Jonas Jerebko,27,4,1.5
2016,DET,Marcus Morris,26,3,0.8
2016,CLE,Timofey Mozgov,29,5,0.5
2016,BRK,Thomas Robinson,24,5,0.1
1978,SEA,Dennis Johnson,23,2,5.8
1978,ATL,Tree Rollins,22,5,5
1978,LAL,Tom Abernethy,23,3,4.1
1979,MIL,Brian Winters,26,1,4.2
1979,PHI,Darryl Dawkins,22,5,4.6
1979,KCK,Billy McKinney,23,1,3
1979,NYK,Spencer Haywood,29,3,1.6
1979,SEA,Tom LaGarde,23,4,1.7
1980,DEN,George McGinnis,29,4,1
1980,BOS,Pete Maravich,32,2,1
1981,NJN,Mike Newlin,32,2,6.1
1981,CHI,Ricky Sobers,28,1,3.8
1981,DET,John Long,24,2,2.4
1981,IND,Clemon Johnson,24,4,3.7
1982,KCK,Sam Lacey,33,4,0
1983,NJN,Albert King,23,2,5.7
1983,SEA,James Donaldson,25,5,5.1
1983,GSW,Sam Williams,23,4,3.7
1984,NJN,Albert King,24,2,4.3
1985,LAC,Norm Nixon,29,1,3.7
1985,UTA,Darrell Griffith,26,2,3.5
1985,KCK,LaSalle Thompson,23,5,5.3
1985,DEN,Mike Evans,29,1,2.9
1985,IND,Ralph Jackson,22,1,0
1986,LAC,Cedric Maxwell,30,3,5.4
1986,HOU,Allen Leavell,28,1,3
1987,IND,Chuck Person,22,3,5.4
1987,CLE,Brad Daugherty,21,4,6
1988,DEN,Michael Adams,25,1,7.5
1988,DEN,Jay Vincent,28,3,2.8
1988,NJN,Roy Hinson,26,3,3.5
1989,UTA,Thurl Bailey,27,4,6.5
1989,LAC,Charles Smith,23,4,4
1989,IND,Rik Smits,22,5,4.3
1989,SAC,LaSalle Thompson,27,5,1.7
1990,WSB,Darrell Walker,28,2,6.3
1990,SEA,Derrick McKey,23,3,6.3
1990,POR,Byron Irvin,23,2,1.2
1991,POR,Jerome Kersey,28,3,6.7
1992,DAL,Rolando Blackman,32,2,3.8
1992,GSW,Billy Owens,22,3,5.6
1992,ATL,Duane Ferrell,26,3,3.5
1993,DEN,Mahmoud Abdul-Rauf,23,1,5.1
1993,WSB,Michael Adams,30,1,4.6
1993,LAL,James Worthy,31,3,3
1993,SAC,Mitch Richmond,27,2,3.1
1994,GSW,Billy Owens,24,3,5.7
1994,CHH,Hersey Hawkins,27,2,6.5
1994,SEA,Kendall Gill,25,2,6.7
1994,MIA,Willie Burton,25,3,1.6
1994,DET,Bill Laimbeer,36,4,0.5
1994,BOS,Matt Wenstrom,23,5,0.1
1995,MIN,Isaiah Rider,23,2,1.9
1995,MIA,Billy Owens,25,3,3.2
1996,SAS,Vinny Del Negro,29,1,8.3
1996,MIN,Isaiah Rider,24,2,3.4
1996,BOS,Dana Barros,28,1,5.6
1996,DEN,Antonio McDyess,21,4,3.6
1996,LAC,Bo Outlaw,24,3,2.3
1996,SAC,Clint McDaniel,23,2,0.2
1997,DET,Joe Dumars,33,1,8.8
1997,CHI,Steve Kerr,31,1,7.5
1997,SAS,Monty Williams,25,3,1.2
1997,GSW,Donyell Marshall,23,4,1.3
1998,NYK,Charlie Ward,27,1,7.1
1998,MIL,Ervin Johnson,30,5,6.4
1998,NJN,Sherman Douglas,31,1,4
1998,PHO,Steve Nash,23,1,4.8
1998,PHO,Kevin Johnson,31,1,3.5
1998,LAC,Isaac Austin,28,4,0.4
1999,ATL,Grant Long,32,3,4.9
1999,TOR,Kevin Willis,36,5,2.4
1999,CHH,Derrick Coleman,31,4,2
2000,VAN,Michael Dickerson,24,2,5.5
2000,CLE,Bob Sura,26,2,4.9
2000,HOU,Walt Williams,29,3,4.4
2000,WAS,Chris Whitney,28,1,4
2000,MIL,Scott Williams,31,5,3.9
2001,LAC,Jeff McInnis,26,1,6.9
2001,CLE,Chris Gatling,33,4,2.4
2002,MIA,Rod Strickland,35,1,4.9
2002,WAS,Chris Whitney,30,1,6.5
2002,LAL,Stanislav Medvedenko,22,4,1.8
2003,PHI,Eric Snow,29,1,8.4
2003,MIA,Brian Grant,30,5,7.7
2003,SAC,Vlade Divac,34,5,7
2003,TOR,Jerome Williams,29,4,5.4
2003,DAL,Nick Van Exel,31,1,4
2004,ORL,Juwan Howard,30,4,3.6
2004,NOH,Darrell Armstrong,35,1,5.3
2004,ORL,Drew Gooden,22,4,1.9
2004,DAL,Shawn Bradley,31,5,2.3
2004,HOU,Scott Padgett,27,4,1.9
2005,DEN,Nene Hilario,22,5,3.2
2005,DEN,Wesley Person,33,2,1.3
2005,PHO,Yuta Tabuse,24,1,0
2006,LAL,Brian Cook,25,4,4.5
2006,GSW,Chris Taft,20,5,0.5
2007,DEN,J.R. Smith,21,2,3.7
2007,CHI,Andres Nocioni,27,3,4.1
2007,WAS,Etan Thomas,28,5,2.7
2008,PHI,Samuel Dalembert,26,5,6.9
2008,DET,Tayshaun Prince,27,3,7.5
2008,BOS,Rajon Rondo,21,1,7.2
2008,GSW,Al Harrington,27,4,5.4
2008,PHI,Shavlik Randolph,24,5,0
2009,HOU,Metta World Peace,29,3,5.5
2009,ORL,Rafer Alston,32,1,2.4
2010,DET,Rodney Stuckey,23,2,2.7
2010,UTA,Mehmet Okur,30,5,5.6
2010,MIL,Hakim Warrick,27,4,2.5
2011,IND,Darren Collison,23,1,4.3
2011,CLE,J.J. Hickson,22,4,1.5
2011,MIL,Brandon Jennings,21,1,3.9
2011,PHO,Jared Dudley,25,3,5.6
2011,NYK,Danilo Gallinari,22,4,4.9
2011,PHO,Aaron Brooks,26,1,0.7
2013,TOR,Jonas Valanciunas,20,5,3.9
2013,DEN,Anthony Randolph,23,4,0.5
2014,DET,Brandon Jennings,24,1,3.9
2014,UTA,Enes Kanter,21,5,2.2
2014,MEM,Tony Allen,32,2,2.7
2014,DEN,Nate Robinson,29,1,1.8
2015,MIL,Khris Middleton,23,3,6.7
2015,CLE,Tristan Thompson,23,4,6.8
2015,LAL,Jeremy Lin,26,1,2.7
2015,MIL,Zaza Pachulia,30,5,4.2
2015,NOP,Ryan Anderson,26,4,3.5
2015,OKC,Reggie Jackson,24,2,2.9
2016,WAS,Otto Porter,22,3,0.5
2016,MEM,JaMychal Green,25,4,0.2
1978,NOJ,Truck Robinson,26,4,6.5
1978,NYK,Spencer Haywood,28,3,3.1
1978,HOU,Mike Dunleavy,23,1,0.1
1979,IND,Mike Bantom,27,3,5.2
1979,CLE,Butch Lee,22,1,1.3
1982,PHO,Kyle Macy,24,1,9.2
1982,CLE,James Silas,32,1,2.4
1982,KCK,Reggie Johnson,24,4,1.8
1983,DAL,Kelvin Ransey,24,1,2.2
1983,CHI,Larry Spriggs,23,3,0.1
1985,POR,Sam Bowie,23,5,5.7
1985,WSB,Darren Daye,24,3,3.8
1986,DEN,Fat Lever,25,1,4.5
1986,SEA,Gerald Henderson,30,1,6.2
1986,LAC,Norm Nixon,30,1,2
1987,HOU,Rodney McCray,25,3,9.4
1987,LAL,A.C. Green,23,4,7.6
1987,SAC,LaSalle Thompson,25,5,4.5
1988,NYK,Mark Jackson,22,1,7.6
1988,PHI,Cliff Robinson,27,3,2.6
1988,SAS,Mike Mitchell,32,3,2.4
1988,LAC,Tod Murphy,24,3,0.1
1989,IND,Reggie Miller,23,2,6.5
1989,SAC,Harold Pressley,25,3,4.8
1989,PHO,Armen Gilliam,24,4,5.1
1989,POR,Adrian Branch,25,2,1.5
1989,CHH,Brian Rowsom,23,4,1.5
1990,POR,Jerome Kersey,27,3,8.8
1990,PHI,Mike Gminski,30,5,6
1990,PHO,Mark West,29,5,8.2
1990,ATL,Kevin Willis,27,5,4.7
1991,SEA,Derrick McKey,24,3,6.4
1991,DEN,Anthony Mason,24,4,0.1
1993,LAC,Ken Norman,28,3,5.2
1993,SAC,Wayman Tisdale,28,4,4.5
1993,IND,Vern Fleming,30,1,2.9
1993,NJN,Bernard King,36,3,1.2
1994,LAC,Ron Harper,30,2,2.9
1995,SAS,Avery Johnson,29,1,8
1995,BOS,Dee Brown,26,1,6.8
1995,WSB,Scott Skiles,30,1,4.5
1996,DET,Allan Houston,24,2,7.1
1996,DET,Otis Thorpe,33,4,7.6
1996,DEN,Don MacLean,26,4,1.5
1996,VAN,Lawrence Moten,23,2,0.6
1997,CHH,Muggsy Bogues,32,1,5
1998,NJN,Keith Van Horn,22,4,4.8
1998,UTA,Shandon Anderson,24,2,4.2
1998,MIA,Eric Murdock,29,1,4.1
1998,ORL,Darrell Armstrong,29,1,2.5
1998,CHI,Scott Burrell,27,3,3.7
2000,NYK,Latrell Sprewell,29,2,6.6
2000,ATL,Isaiah Rider,28,2,1.6
2000,WAS,Jahidi White,23,5,3.2
2000,GSW,Tony Farmer,30,4,2.9
2001,ORL,Bo Outlaw,29,3,7.9
2001,WAS,Richard Hamilton,22,2,2.4
2001,ATL,Lorenzen Wright,25,4,3.2
2001,CLE,J.R. Reid,32,4,0.1
2002,IND,Jalen Rose,29,3,3.6
2002,TOR,Jerome Williams,28,3,5
2002,NJN,Lucious Harris,31,2,5.1
2002,WAS,Etan Thomas,23,5,1.6
2003,POR,Bonzi Wells,26,2,4
2003,DET,Corliss Williamson,29,3,4.9
2004,NOH,P.J. Brown,34,4,8.1
2004,SAS,Tony Parker,21,1,7.5
2004,MIL,Desmond Mason,26,3,5.7
2004,WAS,Kwame Brown,21,5,4.9
2004,DAL,Josh Howard,23,3,3.5
2004,BOS,Eric Williams,31,3,1.2
2004,SEA,Richie Frahm,26,2,1.5
2004,IND,Jonathan Bender,23,4,0.5
2005,LAL,Chris Mihm,25,5,3.6
2005,IND,Dale Davis,35,5,2.6
2005,SAC,Eddie House,26,1,1.2
2006,DEN,Earl Boykins,29,1,2.9
2007,DET,Rasheed Wallace,32,4,6.2
2007,MIN,Craig Smith,23,4,3.9
2007,GSW,Stephen Jackson,28,2,2.4
2007,PHI,Alan Henderson,34,4,1.6
2008,NOH,Peja Stojakovic,30,3,8.1
2008,MIN,Ryan Gomes,25,3,4.8
2008,PHO,Grant Hill,35,3,5.9
2008,POR,Travis Outlaw,23,3,3.2
2008,NJN,Jason Kidd,34,1,2.5
2008,IND,Jeff Foster,31,5,6.5
2008,SEA,Wally Szczerbiak,30,3,2.3
2008,TOR,Kris Humphries,22,4,1.8
2009,DAL,Erick Dampier,33,5,6.1
2009,MIA,Shawn Marion,30,3,3.6
2009,SAC,Brad Miller,32,4,2.6
2009,NYK,Jamal Crawford,28,1,0.7
2009,NYK,Demetris Nichols,24,4,0
2010,CHA,Stephen Jackson,31,3,5
2010,SAC,Beno Udrih,27,1,5.5
2010,PHI,Elton Brand,30,4,3.5
2010,MIL,Ersan Ilyasova,22,4,5.8
2010,CHI,Hakim Warrick,27,4,1.5
2010,HOU,Jordan Hill,22,5,1
2010,PHO,Alando Tucker,25,2,0.1
2011,SAC,Beno Udrih,28,1,7.2
2011,NYK,Wilson Chandler,23,3,3.4
2011,MEM,Darrell Arthur,22,4,3.8
2011,LAC,Chris Kaman,28,5,0.8
2011,UTA,Devin Harris,27,1,0.8
2012,DAL,Jason Terry,34,1,3.8
2012,POR,Jamal Crawford,31,2,2.3
2012,MEM,Tony Allen,30,2,4.2
2012,IND,George Hill,25,1,4
2013,POR,Nicolas Batum,24,3,5.8
2013,DEN,Andre Miller,36,1,5.4
2013,ATL,Ivan Johnson,28,4,2.3
2013,DET,Jonas Jerebko,25,4,2
2013,SAC,Cole Aldrich,24,5,0.4
2014,POR,Wesley Matthews,27,2,8.2
2014,BOS,Jordan Crawford,25,1,2.4
2015,BRK,Deron Williams,30,1,3.6
2015,ATL,Dennis Schroder,21,1,2.5
2016,SAC,Omri Casspi,27,4,0.4
2016,HOU,Marcus Thornton,28,2,0.3
1978,NJN,Kevin Porter,27,1,4
1979,KCK,Phil Ford,22,1,5.7
1981,SDC,Michael Brooks,22,3,4.9
1981,SAS,Johnny Moore,22,1,3.2
1982,UTA,Darrell Griffith,23,2,2.1
1982,CLE,James Edwards,26,5,4.3
1982,MIL,Brian Winters,29,1,5.5
1982,PHI,Steve Mix,34,3,3.7
1983,UTA,Darrell Griffith,24,1,2.8
1983,HOU,Allen Leavell,25,1,3.8
1984,NJN,Buck Williams,23,4,7.3
1984,CHI,Quintin Dailey,23,1,3.7
1984,POR,Fat Lever,23,1,4.8
1984,POR,Wayne Cooper,27,4,4.1
1985,ATL,Eddie Johnson,29,1,4.2
1985,PHO,James Edwards,29,4,3.7
1985,MIL,Ricky Pierce,25,2,3
1986,SAC,Eddie Johnson,26,3,4
1986,CLE,Edgar Jones,29,4,2.6
1987,IND,Vern Fleming,24,1,7
1987,GSW,Chris Mullin,23,2,5.2
1987,DEN,Darrell Walker,25,2,3.8
1987,HOU,Lewis Lloyd,27,2,1.6
1988,LAL,Kareem Abdul-Jabbar,40,5,5.3
1988,CLE,Hot Rod Williams,25,4,5.7
1988,HOU,Purvis Short,30,2,4.4
1988,PHO,Jay Humphries,25,1,3.5
1988,NJN,Mike Gminski,28,5,1.9
1989,MIL,Jack Sikma,33,4,8.1
1989,IND,Vern Fleming,26,1,5.6
1989,BOS,Kevin Gamble,23,2,1
1990,DET,Bill Laimbeer,32,5,10.1
1990,MIN,Pooh Richardson,23,1,4.4
1990,DET,Mark Aguirre,30,3,5.7
1991,DET,Scott Hastings,30,4,0.5
1992,MIA,Grant Long,25,3,7.7
1992,NJN,Drazen Petrovic,27,2,7.7
1992,DEN,Anthony Cook,24,4,0.4
1993,DEN,Reggie Williams,28,2,5.9
1993,SAS,Avery Johnson,27,1,5.2
1993,MIN,Marlon Maxey,23,4,0.9
1994,SAC,Wayman Tisdale,29,4,5.4
1994,GSW,Chris Mullin,30,2,4.7
1994,IND,Kenny Williams,24,3,2.4
1995,IND,Byron Scott,33,2,3.9
1995,LAL,Sedale Threatt,33,1,3.8
1996,NYK,Anthony Mason,29,3,11.3
1996,SAC,Olden Polynice,31,5,5.3
1996,SAC,Brian Grant,23,4,4.7
1996,MIN,Kevin Garnett,19,4,4.4
1996,UTA,Chris Morris,30,3,3.3
1997,DAL,Sam Cassell,27,1,0.5
1997,SAC,Devin Gray,24,4,0
1998,LAC,Rodney Rogers,26,3,3.3
1998,NYK,Larry Johnson,28,3,6.9
1998,MIN,Sam Mitchell,34,3,6.1
1998,ORL,Rony Seikaly,32,4,2.8
1998,VAN,Larry Robinson,30,2,0
1999,MIA,P.J. Brown,29,4,5.1
1999,DET,Bison Dele,29,4,2.4
1999,CLE,Andrew DeClercq,25,4,2.7
1999,WAS,Chris Whitney,27,1,1
2000,TOR,Doug Christie,29,2,5.1
2000,SAC,Scot Pollard,24,5,5.1
2000,MIL,Robert Traylor,22,5,1
2001,MIN,Wally Szczerbiak,23,3,7.4
2001,GSW,Mookie Blaylock,33,1,3.5
2001,WAS,Juwan Howard,27,4,2.2
2001,ATL,Cal Bowdler,23,4,1
2002,NYK,Kurt Thomas,29,4,6.5
2002,PHI,Aaron McKie,29,2,3.9
2002,DAL,Raef LaFrentz,25,5,1.9
2003,SEA,Brent Barry,31,2,7.3
2003,GSW,Erick Dampier,27,5,4.1
2003,CHI,Tyson Chandler,20,5,3.9
2003,PHI,Kenny Thomas,25,4,3.9
2003,WAS,Etan Thomas,24,5,1.3
2004,HOU,Steve Francis,26,1,7.1
2004,DAL,Antoine Walker,27,3,3.9
2004,ATL,Chris Crawford,28,4,2.7
2004,ORL,Rod Strickland,37,1,1.2
2004,MIL,Brevin Knight,28,1,1.1
2005,LAL,Caron Butler,24,3,5.3
2005,DAL,Josh Howard,24,3,6.4
2005,POR,Ruben Patterson,29,2,3.4
2006,CHI,Luol Deng,20,3,6.5
2006,ATL,Josh Childress,22,3,5.7
2006,GSW,Ike Diogu,22,4,2.6
2006,ORL,Trevor Ariza,20,3,0.6
2007,MIL,Charlie Villanueva,22,4,1.7
2007,NOK,Peja Stojakovic,29,3,0.9
2008,SEA,Kevin Durant,19,3,2.3
2008,PHO,Leandro Barbosa,25,1,5.5
2008,SEA,Kurt Thomas,35,4,3
2008,LAL,Coby Karl,24,2,0.2
2009,DET,Jason Maxiell,25,4,4.1
2009,CHA,Jason Richardson,28,2,1.1
2010,CLE,Anderson Varejao,27,4,8.1
2010,DET,Ben Wallace,35,4,4.7
2010,DEN,Chris Andersen,31,5,5.9
2010,PHI,Jodie Meeks,22,2,0.6
2011,WAS,John Wall,20,1,2.2
2011,TOR,Ed Davis,21,4,4
