Year,Tm,Player,Age,Rounded Position,WS
1997,DEN,LaSalle Thompson,35,5,-0.2
2002,MEM,Isaac Fontaine,26,2,-0.2
2002,NJN,Steve Goodrich,25,3,-0.1
2012,NOH,Jeff Foote,24,5,-0.1
1983,DET,Jim Zoet,29,5,-0.1
1985,CLE,Butch Graves,23,2,-0.1
1986,DET,Walker Russell,25,1,0
1988,LAL,Billy Thompson,24,3,-0.1
1994,PHO,Negele Knight,26,1,0
2015,MEM,Kalin Lucas,25,1,0
1979,POR,Lloyd Neal,28,3,-0.1
1980,PHI,Al Skinner,27,1,0
1981,CHI,Ollie Mack,23,1,0
1986,BOS,Sly Williams,28,3,-0.2
1993,HOU,Mark Acres,30,4,-0.1
1996,PHO,David Wood,31,3,0
2001,PHI,Raja Bell,24,2,-0.1
2016,LAC,Luc Mbah a Moute,29,2,0
1980,UTA,John Brown,28,4,-0.1
1991,MIN,Bob Thornton,28,4,-0.2
1996,PHI,Elmer Bennett,25,1,-0.3
1998,MIA,Charles Smith,22,2,-0.2
2001,TOR,Muggsy Bogues,36,1,-0.1
2007,CLE,Dwayne Jones,23,5,0
2011,SAS,Othyus Jeffers,25,2,0
2014,SAS,Shannon Brown,28,2,-0.2
1991,LAL,Tony Brown,30,2,0
1992,HOU,Kennard Winchester,25,2,0
1994,UTA,Luther Wright,22,5,-0.1
1994,PHI,Bill Edwards,22,4,-0.3
1999,DET,Mark Macon,29,2,-0.2
2000,CLE,A.J. Bramlett,23,5,-0.2
2007,LAC,Will Conroy,24,1,-0.1
2016,MEM,Vince Carter,39,2,0
1986,PHO,Mike Holton,24,1,-0.2
1992,NYK,James Donaldson,34,5,-0.1
2014,SAC,Orlando Johnson,24,2,-0.1
1985,ATL,Stewart Granger,23,1,-0.2
1986,NJN,Rod Higgins,26,3,-0.1
1990,NYK,Stuart Gray,26,4,-0.1
1993,NJN,Doug Lee,28,2,0
1998,WAS,Lawrence Moten,25,1,-0.1
2005,POR,Maurice Baker,25,1,0
2010,WAS,Cedric Jackson,23,1,-0.2
2013,DAL,Eddy Curry,30,5,-0.1
2007,ATL,Cedric Bozeman,23,2,-0.3
2009,MIN,Mark Madsen,33,4,-0.1
2011,NOH,Pops Mensah-Bonsu,27,4,0
2011,CHI,John Lucas,28,1,0
1979,MIL,Del Beshore,22,1,0
1985,MIL,Chris Engler,25,5,0
1988,CHI,Tony White,22,1,0
1989,SAS,Keith Smart,24,1,0
1989,CHI,David Wood,24,3,0
1990,LAL,Steve Bucknall,23,2,-0.3
1992,HOU,Dan Godfread,24,3,0
1992,GSW,Billy Thompson,28,2,0
1992,CHH,Cedric Hunter,27,1,0
1996,BOS,Larry Sykes,22,5,0
1997,MIA,Matt Fish,27,3,0
