Year,Tm,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,WS
2000,POR,Antonio Harvey,29,19,137,10.1,0.581,0,0.4,7.3,20.4,14.2,5.7,0.4,3.2,25.4,15.9,0.2
2000,GSW,Drew Barry,26,8,85,10.1,0.583,0.5,0.111,0,10.5,4.9,30.7,1.2,0,24.1,12.3,0.1
2001,SAS,Danny Ferry,34,80,1688,10.1,0.577,0.416,0.08,3.9,10.7,7.5,6.8,0.9,0.9,11.4,12.2,4.1
2001,ORL,Pat Garrity,24,76,1579,10.1,0.507,0.389,0.17,3.5,11.4,7.4,5.3,1.3,0.7,9.9,19.2,2.5
2001,NJN,Kendall Gill,32,31,892,10.1,0.39,0.043,0.279,4,13.1,8.4,16.7,2.8,0.6,11.7,20.9,-0.4
2001,CHI,Michael Ruffin,24,45,879,10.1,0.48,0,0.856,13.1,22.6,17.7,6.9,1.8,3.2,27.1,9,1
2001,WAS,Gerard King,28,45,706,10.1,0.552,0,0.256,6.3,15.2,10.7,7.4,1,1.1,19.4,15.3,0.5
2001,MIL,Darvin Ham,27,29,540,10.1,0.537,0.038,0.613,11.8,13.6,12.7,6.5,1.6,2.9,24.5,11.3,0.9
2001,MIN,Todd Day,31,31,345,10.1,0.515,0.585,0.195,3.3,9,6.1,12.2,1.5,1.4,15.8,19.9,0.3
2002,MEM,Rodney Buford,24,63,1769,10.1,0.47,0.118,0.135,3.3,13.9,8.6,7,1.3,0.5,9.1,17.8,0.8
2002,CLE,Tyrone Hill,33,26,810,10.1,0.46,0.005,0.566,11.6,28,19.9,4.3,1.1,1.2,17.4,15.6,0.6
2002,ORL,Don Reid,28,68,714,10.1,0.509,0,0.358,10.1,17.5,13.8,5.8,1.4,4.3,19.7,17.2,0.9
2002,ORL,Andrew DeClercq,28,61,633,10.1,0.474,0,0.336,13,15.8,14.4,5.2,1.9,2.7,16.6,14.5,1
